name,address,latitude,longitude
Cranleigh Abu Dhabi,Saadiyat Island,24.53671,54.42457
GEMS American Academy,Khalifa City A,24.39774,54.57426
American Community School Abu Dhabi,Khalidiya,24.474796,54.370576
Al Bateen Academy,Al Manaseer,24.22265,55.7651
Brighton College Abu Dhabi,Bloom Gardens & Khalifa City,24.39774,54.57426
Repton Foundation School   Rose Campus  Abu Dhabi,Al Reem Island,24.48584,54.40532
Sheikh Zayed Academy for Boys,Al Khalidia,24.22265,55.7651
British School Al Khubairat,Abu Dhabi,24.25349,54.65747
British International School Abu Dhabi,Shakhbout City,24.40374,54.67124
Al Mamoura Academy Abu Dhabi,Al Nahyan,24.22265,55.7651
West Yas Academy,Yas West,24.46994,54.605233
GEMS World Academy Abu Dhabi,Al Danah,24.465765,54.338979
Raha International School,Gardens,26.16463,50.5651
Sheikh Zayed Academy for Girls,Al Bateen,24.4688,54.33817
Al Yasmina Academy,Al Raha Gardens,24.474796,54.370576
Amity International School Abu Dhabi,Al Bahya,24.51508,54.66179
MindChamps Abu Dhabi,Bloom Gardens & Khalifa City,24.39774,54.57426
American International School Abu Dhabi,Al Reehan,24.22265,55.7651
Al Muna Academy,Al Markaziyah,24.48963,54.35779
Redwood Montessori Nursery Bateen,Al Bateen,24.4688,54.33817
The Pearl Academy,Al Dhafrah,24.47742,54.36782
Canadian International School,Khalifa City A,24.39774,54.57426
Aspen Heights British School,Al Bahya,24.51508,54.66179
Ajyal International School MBZ,Mohammed Bin Zayed City,24.31542,55.79643
German International School Abu Dhabi,Zaab,24.46283,54.36203
Orange Seeds Nursery,Al Maqtaa,24.40469,54.48091
Humpty Dumpty Nursery Abu Dhabi - Al Bateen,Al Bateen,24.4688,54.33817
Humpty Dumpty Nursery,Khalifa City A,24.39774,54.57426
Horizon Private School Branch,Khalifa City A,24.39774,54.57426
Abu Dhabi International School MBZ branch,Mohammed Bin Zayed City,24.31542,55.79643
International Community School Al Falah,Al Falah,24.43756,54.45875
Blooming Buds Nursery,Al Bateen,24.4688,54.33817
ADNOC Schools Sas Al Nakhl,Umm Al Nar,24.47709,54.36891
Maple Wood International School,Mohammed Bin Zayed City,24.31542,55.79643
Lyçée Français Louis Massignon,Al Zahra,24.43875,54.39811
Emirates National School Al Nahyan   Secondary  ,Al Nahyan,24.22265,55.7651
Lyçée Français Théodore Monod Saadiyat,Saadiyat Island,24.53671,54.42457
International Community School Mushrif,Al Mushrif,24.43296,54.37649
Redwood Montessori Nursery Saadiyat Island,Saadiyat Island,24.53671,54.42457
Redwood Montessori Nursery Khalifa City A,Khalifa City A,24.39774,54.57426
Al Shohub School,Khalifa City A,24.39774,54.57426
Emirates National School Mohammed Bin Zayed City,Mohammed Bin Zayed City,24.31542,55.79643
Al Dhafra Private School,Abu Dhabi,24.31542,55.79643
International Academic School Abu Dhabi,Shakhbout City,24.40374,54.67124
Emirates National School Al Ain,Towaya,24.24779,55.69647
Sharjah American International School Abu Dhabi,Shakhbout City,24.40374,54.67124
Teddy Bear Nursery Al Bateen,Al Bateen,24.4688,54.33817
Teddy Bear Nursery Mohammed bin Zayed City,Mohammed Bin Zayed City,24.31542,55.79643
Teddy Bear Nursery Khalifa City A,Khalifa City A,24.39774,54.57426
Scholars American International School,Shakhbout City,24.40374,54.67124
International Montessori Nursery,Al Maqtaa,24.40469,54.48091
Abu Dhabi Grammar School Canada,Abu Dhabi City,24.39728,54.50154
Reach British School,Baniyas East,24.49696,54.36092
Al Rabeeh School Abu Dhabi,Hadbat Al Zaafran,24.43806,54.40705
Diyafah International School MBZ,Mohammed Bin Zayed City,24.31542,55.79643
Merryland International School,Mussafah,24.34859,54.4995
Al Basma British School,Old Al Bahya,24.51508,54.66179
Ajyal International School Al Falah,Al Falah,24.43756,54.45875
Virginia International Private School,Shakhbout City,24.40374,54.67124
GEMS Cambridge International School Abu Dhabi,Baniyas East,24.49696,54.36092
Les Fanfans,Abu Dhabi City,24.39728,54.50154
ADNOC Schools,Ruwais Branch,26.16463,50.5651
Emirates National School Abu Dhabi   Primary campus  ,Al Manaseer,24.22265,55.7651
Kids Academy Khalifa City,Khalifa City,24.39774,54.57426
Glenelg School Madinat Zayed,Madinat Zayed,24.48279,54.35928
ADNOC Primary School,Abu Dhabi,24.47709,54.36891
Elite Private School,Mohammed Bin Zayed City,24.31542,55.79643
The International School of Choueifat Khalifa City,Khalifa City A,24.39774,54.57426
Belvedere British School,Mohammed Bin Zayed City,24.31542,55.79643
Liwa International School - Al Mushrif,Al Mushrif,24.43296,54.37649
Educare Nursery,Khalidiyah,24.47129,54.34063
First Steps Pre-School and Nursery Abu Dhabi,Karama,24.47174,54.36035
Japanese School Abu Dhabi,Al Bateen,24.4688,54.33817
Australian School of Abu Dhabi,Shakhbout City,24.40374,54.67124
Al Dana Nursery,Abu Dhabi City,24.39728,54.50154
Bright Kids Nursery,Al Najda,24.474796,54.370576
Al Najah Private School,Mohammed Bin Zayed City,24.31542,55.79643
The Cambridge High School Abu Dhabi,Mussafah,24.34859,54.4995
Good Will Children Private School,Mussafah,24.34859,54.4995
ABC Private School,Al Shamkha,24.41477,54.7174
Al Ruwais Private School   formerly Choueifat  ,Ruwais,26.16463,50.5651
Al Nahda National School for Boys,Al Mushrif,24.43296,54.37649
Lyceé Français Théodore Monod Al Bateen,Al Bateen,24.4688,54.33817
Mayoor Private School Abu Dhabi,Al Wathba,24.474796,54.370576
International Jubilee Private School,Al Danah,24.465765,54.338979
Al Nahda National School for Girls,Al Mushrif,24.43296,54.37649
Eduscan Nursery,Khalidiya,24.474796,54.370576
Giggles English Nursery School Mina Road,Al Zahiyah,24.22265,55.7651
Giggles English Nursery Airport Road,Al Dhafrah,24.47742,54.36782
Al Bateen Scientific School,Al Nahyan,24.22265,55.7651
GEMS Winchester School Abu Dhabi,Al Markaziyah,24.48963,54.35779
Jigsaw Nursery Abu Dhabi,Al Rowda,24.44649,54.36162
Summit International School,Madinat Zayed,24.48279,54.35928
The International School of Choueifat Abu Dhabi,Al Mushrif,24.43296,54.37649
Dunes International School,Mussafah,24.34859,54.4995
Ryan International School Abu Dhabi,Masdar City,24.40627,54.61704
International Community School Al Najda   branch 1  ,Madinat Zayed,24.48279,54.35928
Bright Riders School Abu Dhabi,Mussafah,24.34859,54.4995
Crescent International Private School,Khalifa City A,24.39774,54.57426
Creative British School Abu Dhabi,Mussafah,24.34859,54.4995
Abu Dhabi Indian School   branch 1  Al Wathba,Al Wathba,24.474796,54.370576
GEMS United Indian School,Baniyas West,24.46413,54.32655
Private International English School,Mussafah,24.34859,54.4995
Shining Star International School,Mussafah,24.34859,54.4995
Global Indian International School Abu Dhabi,Baniyas East,24.49696,54.36092
Philippine Emirates Private School,Baniyas East,24.49696,54.36092
Abu Dhabi Indian School,Shabia Muroor,21.53164,39.17558
Islamia English School,Al Dhafrah,24.47742,54.36782
GEMS Our Own English High School Al Ain,Al Manaseer,24.22265,55.7651
Sunrise English Private School Abu Dhabi,Mussafah,24.34859,54.4995
St. Joseph's School Abu Dhabi,Al Mushrif,24.43296,54.37649
Asian International School Ruwais,Ruwais,26.16463,50.5651
The Philippine Private School Abu Dhabi,Baniyas East,24.49696,54.36092
The Model   New Indian  Private School Abu Dhabi,Mussafah,24.34859,54.4995
Asian International School Madinat Zayed,Madinat Zayed,24.48279,54.35928
Crescent International Private School,Khalifa City A,24.39774,54.57426
Creative British School Abu Dhabi,Mussafah,24.34859,54.4995
Abu Dhabi Indian School   branch 1  Al Wathba,Al Wathba,24.474796,54.370576
GEMS United Indian School,Baniyas West,24.46413,54.32655
Private International English School,Mussafah,24.34859,54.4995
Shining Star International School,Mussafah,24.34859,54.4995
Global Indian International School Abu Dhabi,Baniyas East,24.49696,54.36092
Philippine Emirates Private School,Baniyas East,24.49696,54.36092
Abu Dhabi Indian School,Shabia Muroor,21.53164,39.17558
Islamia English School,Al Dhafrah,24.47742,54.36782
GEMS Our Own English High School Al Ain,Al Manaseer,24.22265,55.7651
Sunrise English Private School Abu Dhabi,Mussafah,24.34859,54.4995
St. Joseph's School Abu Dhabi,Al Mushrif,24.43296,54.37649
Asian International School Ruwais,Ruwais,26.16463,50.5651
The Philippine Private School Abu Dhabi,Baniyas East,24.49696,54.36092
The Model   New Indian  Private School Abu Dhabi,Mussafah,24.34859,54.4995
Asian International School Madinat Zayed,Madinat Zayed,24.48279,54.35928
